basename,nonzero_mean_canonical,full_path
ATAC_Cardiomyocytes_100M_norm.bw,0.7171024,/g/steinmetz/projects/variant2function_project/data/processed/seq2fun_train_input_baseres/multiome_ATAC_bigwig/ATAC_Cardiomyocytes_100M_norm.bw
ATAC_Early_endoderm_100M_norm.bw,3.165925,/g/steinmetz/projects/variant2function_project/data/processed/seq2fun_train_input_baseres/multiome_ATAC_bigwig/ATAC_Early_endoderm_100M_norm.bw
ATAC_Mesendoderm_100M_norm.bw,1.6438006,/g/steinmetz/projects/variant2function_project/data/processed/seq2fun_train_input_baseres/multiome_ATAC_bigwig/ATAC_Mesendoderm_100M_norm.bw
ATAC_Endoderm_100M_norm.bw,1.1888045,/g/steinmetz/projects/variant2function_project/data/processed/seq2fun_train_input_baseres/multiome_ATAC_bigwig/ATAC_Endoderm_100M_norm.bw
ATAC_Fibroblasts_100M_norm.bw,1.7246867,/g/steinmetz/projects/variant2function_project/data/processed/seq2fun_train_input_baseres/multiome_ATAC_bigwig/ATAC_Fibroblasts_100M_norm.bw
ATAC_Cardiac_progenitors_100M_norm.bw,0.43304408,/g/steinmetz/projects/variant2function_project/data/processed/seq2fun_train_input_baseres/multiome_ATAC_bigwig/ATAC_Cardiac_progenitors_100M_norm.bw
ATAC_Early_cardiomyocytes_100M_norm.bw,0.40489265,/g/steinmetz/projects/variant2function_project/data/processed/seq2fun_train_input_baseres/multiome_ATAC_bigwig/ATAC_Early_cardiomyocytes_100M_norm.bw
ATAC_Ectoderm_100M_norm.bw,4.849378,/g/steinmetz/projects/variant2function_project/data/processed/seq2fun_train_input_baseres/multiome_ATAC_bigwig/ATAC_Ectoderm_100M_norm.bw
ATAC_Cardiac_mesoderm_100M_norm.bw,1.7244678,/g/steinmetz/projects/variant2function_project/data/processed/seq2fun_train_input_baseres/multiome_ATAC_bigwig/ATAC_Cardiac_mesoderm_100M_norm.bw
ATAC_Early_fibroblasts_100M_norm.bw,0.6649902,/g/steinmetz/projects/variant2function_project/data/processed/seq2fun_train_input_baseres/multiome_ATAC_bigwig/ATAC_Early_fibroblasts_100M_norm.bw
ATAC_Endothelial_cells_100M_norm.bw,3.6102011,/g/steinmetz/projects/variant2function_project/data/processed/seq2fun_train_input_baseres/multiome_ATAC_bigwig/ATAC_Endothelial_cells_100M_norm.bw
RNA_Early_cardiomyocytes_plus_100M.bw,0.8856755,/g/steinmetz/projects/variant2function_project/data/processed/seq2fun_train_input_baseres/multiome_RNA_3prime_bigwig/RNA_Early_cardiomyocytes_plus_100M.bw
